"scenario","replicate","method","success","error","positive_definite","condition_number"
"parent_excitation_sparse",44,"recursive_gamma_poisson",TRUE,"",TRUE,15560.2133508023
"parent_excitation_sparse",44,"one_step_gamma_poisson",TRUE,"",TRUE,10341.7604316459
"parent_excitation_dense",44,"recursive_gamma_poisson",TRUE,"",TRUE,22748.6485525229
"parent_excitation_dense",44,"one_step_gamma_poisson",TRUE,"",TRUE,29223.6805548694
"standard",45,"recursive_gamma_poisson",TRUE,"",TRUE,1658.73483111266
"standard",45,"one_step_gamma_poisson",TRUE,"",TRUE,1011.30991385889
"parent_excitation_sparse",45,"recursive_gamma_poisson",TRUE,"",TRUE,1114.17313237567
"parent_excitation_sparse",45,"one_step_gamma_poisson",TRUE,"",TRUE,1155.05393378591
"parent_excitation_dense",45,"recursive_gamma_poisson",TRUE,"",TRUE,13951.0350317374
"parent_excitation_dense",45,"one_step_gamma_poisson",TRUE,"",TRUE,11123.0975743208
"standard",46,"recursive_gamma_poisson",TRUE,"",TRUE,4036.31881036318
"standard",46,"one_step_gamma_poisson",TRUE,"",TRUE,1822.27702998863
"parent_excitation_sparse",46,"recursive_gamma_poisson",TRUE,"",TRUE,5457.34077339346
"parent_excitation_sparse",46,"one_step_gamma_poisson",TRUE,"",TRUE,3690.85733678003
"parent_excitation_dense",46,"recursive_gamma_poisson",TRUE,"",TRUE,13979.3965847773
"parent_excitation_dense",46,"one_step_gamma_poisson",TRUE,"",TRUE,13812.3732594375
"standard",47,"recursive_gamma_poisson",TRUE,"",TRUE,4085.67670578315
"standard",47,"one_step_gamma_poisson",TRUE,"",TRUE,1355.95632146426
"parent_excitation_sparse",47,"recursive_gamma_poisson",TRUE,"",TRUE,48975.6242649336
"parent_excitation_sparse",47,"one_step_gamma_poisson",TRUE,"",TRUE,26408.5591634154
"parent_excitation_dense",47,"recursive_gamma_poisson",TRUE,"",TRUE,113066.805276237
"parent_excitation_dense",47,"one_step_gamma_poisson",TRUE,"",TRUE,86105.7065215917
"standard",48,"recursive_gamma_poisson",TRUE,"",TRUE,1736.74396092123
"standard",48,"one_step_gamma_poisson",TRUE,"",TRUE,1023.94054248987
"parent_excitation_sparse",48,"recursive_gamma_poisson",TRUE,"",TRUE,1108.22944257448
"parent_excitation_sparse",48,"one_step_gamma_poisson",TRUE,"",TRUE,2309.00856400004
"parent_excitation_dense",48,"recursive_gamma_poisson",TRUE,"",TRUE,2811.61187391411
"parent_excitation_dense",48,"one_step_gamma_poisson",TRUE,"",TRUE,4067.00698568176
"standard",49,"recursive_gamma_poisson",TRUE,"",TRUE,4942.70522174222
"standard",49,"one_step_gamma_poisson",TRUE,"",TRUE,3149.04336354455
"parent_excitation_sparse",49,"recursive_gamma_poisson",TRUE,"",TRUE,33593.1289115797
"parent_excitation_sparse",49,"one_step_gamma_poisson",TRUE,"",TRUE,18301.113818511
"parent_excitation_dense",49,"recursive_gamma_poisson",TRUE,"",TRUE,3532.8035844118
"parent_excitation_dense",49,"one_step_gamma_poisson",TRUE,"",TRUE,4116.65653967748
"standard",50,"recursive_gamma_poisson",TRUE,"",TRUE,2142.06235765876
"standard",50,"one_step_gamma_poisson",TRUE,"",TRUE,1392.28936544626
"parent_excitation_sparse",50,"recursive_gamma_poisson",TRUE,"",TRUE,10304.1982508648
"parent_excitation_sparse",50,"one_step_gamma_poisson",TRUE,"",TRUE,3886.1631215723
"parent_excitation_dense",50,"recursive_gamma_poisson",TRUE,"",TRUE,7445.77197859768
"parent_excitation_dense",50,"one_step_gamma_poisson",TRUE,"",TRUE,8718.40521864808
"standard",51,"recursive_gamma_poisson",TRUE,"",TRUE,1683.4881480939
"standard",51,"one_step_gamma_poisson",TRUE,"",TRUE,1022.39571139587
"parent_excitation_sparse",51,"recursive_gamma_poisson",TRUE,"",TRUE,14192.6528101559
"parent_excitation_sparse",51,"one_step_gamma_poisson",TRUE,"",TRUE,1458.96497537437
"parent_excitation_dense",51,"recursive_gamma_poisson",TRUE,"",TRUE,53342.9710712953
"parent_excitation_dense",51,"one_step_gamma_poisson",TRUE,"",TRUE,38876.0719737459
"standard",52,"recursive_gamma_poisson",TRUE,"",TRUE,3244.79986021575
"standard",52,"one_step_gamma_poisson",TRUE,"",TRUE,858.326681659486
"parent_excitation_sparse",52,"recursive_gamma_poisson",TRUE,"",TRUE,19570.9889100393
"parent_excitation_sparse",52,"one_step_gamma_poisson",TRUE,"",TRUE,3010.35907565678
"parent_excitation_dense",52,"recursive_gamma_poisson",TRUE,"",TRUE,15589.6301622861
"parent_excitation_dense",52,"one_step_gamma_poisson",TRUE,"",TRUE,15700.9600264337
"standard",53,"recursive_gamma_poisson",TRUE,"",TRUE,4504.56554172772
"standard",53,"one_step_gamma_poisson",TRUE,"",TRUE,1040.48623816415
"parent_excitation_sparse",53,"recursive_gamma_poisson",TRUE,"",TRUE,56218.2916424514
